Ion,Dose,Ion Energy,Wavelength,Rep. Rate,Power,Temperature,Rs
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,25.0,355.0,50.0,2.33,25.0,3306.666667
2.0,20.0,40.0,532.0,100.0,4.5,25.0,336.3333333
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,55.0,355.0,100.0,0.5,25.0,55506666.67
1.0,20.0,40.0,355.0,100.0,1.5,25.0,1258666.667
2.0,5.0,55.0,355.0,100.0,1.5,25.0,11840000.0
2.0,20.0,10.0,355.0,100.0,0.5,25.0,450700000.0
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,8.0,55.0,355.0,100.0,2.0,300.0,5625.666667
2.0,5.0,25.0,355.0,100.0,1.0,25.0,49196666.67
1.0,20.0,55.0,355.0,50.0,1.0,300.0,1897.333333
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,20.0,40.0,355.0,50.0,2.33,25.0,259.0666667
1.0,5.0,40.0,532.0,50.0,1.5,25.0,587166.6667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,8.0,40.0,532.0,100.0,6.0,300.0,926.0
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,8.0,55.0,532.0,50.0,1.5,300.0,12486.66667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,50.0,55.0,532.0,50.0,4.5,300.0,51.07
1.0,8.0,10.0,532.0,50.0,3.0,300.0,743.8
1.0,20.0,55.0,355.0,100.0,1.0,25.0,24270000.0
2.0,50.0,10.0,532.0,100.0,1.5,300.0,100000000000.0
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,10.0,532.0,100.0,3.0,300.0,3282.666667
2.0,5.0,10.0,355.0,100.0,1.5,25.0,122933333.3
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,5.0,55.0,355.0,100.0,2.0,300.0,10960.0
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
Best Timestep,37,Minimum Rs,51.07
Count berfore best timestep,15,Total count,22
